"subjects" "activity" "variable" "mean"
"1" 1 "WALKING" "fBodyAcc_mean()_X" -0.202794306326316
"2" 1 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.404321784150943
"3" 1 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.0382291831510204
"4" 1 "SITTING" "fBodyAcc_mean()_X" -0.979641238723404
"5" 1 "STANDING" "fBodyAcc_mean()_X" -0.995249932641509
"6" 1 "LAYING" "fBodyAcc_mean()_X" -0.9390990524
"7" 2 "WALKING" "fBodyAcc_mean()_X" -0.346048161016949
"8" 2 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.266720933270833
"9" 2 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.112841160325532
"10" 2 "SITTING" "fBodyAcc_mean()_X" -0.985803840652174
"11" 2 "STANDING" "fBodyAcc_mean()_X" -0.983946739814815
"12" 2 "LAYING" "fBodyAcc_mean()_X" -0.976725059791667
"13" 3 "WALKING" "fBodyAcc_mean()_X" -0.316614011689655
"14" 3 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.392004211474576
"15" 3 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" -0.0421706943244898
"16" 3 "SITTING" "fBodyAcc_mean()_X" -0.970154440961538
"17" 3 "STANDING" "fBodyAcc_mean()_X" -0.960123409508197
"18" 3 "LAYING" "fBodyAcc_mean()_X" -0.980665609032258
"19" 4 "WALKING" "fBodyAcc_mean()_X" -0.426719449666667
"20" 4 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.294488270365385
"21" 4 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" -0.0722392276888889
"22" 4 "SITTING" "fBodyAcc_mean()_X" -0.9774624984
"23" 4 "STANDING" "fBodyAcc_mean()_X" -0.973497549642857
"24" 4 "LAYING" "fBodyAcc_mean()_X" -0.958802077592593
"25" 5 "WALKING" "fBodyAcc_mean()_X" -0.287782607410714
"26" 5 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.161485339978723
"27" 5 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.0984320090212766
"28" 5 "SITTING" "fBodyAcc_mean()_X" -0.977450812045455
"29" 5 "STANDING" "fBodyAcc_mean()_X" -0.964500917321429
"30" 5 "LAYING" "fBodyAcc_mean()_X" -0.968741678461538
"31" 6 "WALKING" "fBodyAcc_mean()_X" -0.187934323140351
"32" 6 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.131075372803922
"33" 6 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.328308506041667
"34" 6 "SITTING" "fBodyAcc_mean()_X" -0.975351454727273
"35" 6 "STANDING" "fBodyAcc_mean()_X" -0.977100287368421
"36" 6 "LAYING" "fBodyAcc_mean()_X" -0.939114254210526
"37" 7 "WALKING" "fBodyAcc_mean()_X" -0.343048405789474
"38" 7 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.336199426470588
"39" 7 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.0443428315319149
"40" 7 "SITTING" "fBodyAcc_mean()_X" -0.972697126875
"41" 7 "STANDING" "fBodyAcc_mean()_X" -0.976681834339623
"42" 7 "LAYING" "fBodyAcc_mean()_X" -0.953424245576923
"43" 8 "WALKING" "fBodyAcc_mean()_X" -0.247389011875
"44" 8 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.166411065387805
"45" 8 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.136590199860526
"46" 8 "SITTING" "fBodyAcc_mean()_X" -0.981142909782609
"47" 8 "STANDING" "fBodyAcc_mean()_X" -0.988219862222222
"48" 8 "LAYING" "fBodyAcc_mean()_X" -0.953538563888889
"49" 9 "WALKING" "fBodyAcc_mean()_X" -0.294711163653846
"50" 9 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.342735952653061
"51" 9 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.103128506197619
"52" 9 "SITTING" "fBodyAcc_mean()_X" -0.959413594
"53" 9 "STANDING" "fBodyAcc_mean()_X" -0.971662692
"54" 9 "LAYING" "fBodyAcc_mean()_X" -0.946865494
"55" 10 "WALKING" "fBodyAcc_mean()_X" -0.114190001283019
"56" 10 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.139410790617021
"57" 10 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.215665273157895
"58" 10 "SITTING" "fBodyAcc_mean()_X" -0.984943144259259
"59" 10 "STANDING" "fBodyAcc_mean()_X" -0.970099814318182
"60" 10 "LAYING" "fBodyAcc_mean()_X" -0.96918420862069
"61" 11 "WALKING" "fBodyAcc_mean()_X" -0.396533731864407
"62" 11 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.355348902222222
"63" 11 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.0351937228130435
"64" 11 "SITTING" "fBodyAcc_mean()_X" -0.981481454339623
"65" 11 "STANDING" "fBodyAcc_mean()_X" -0.993808050638298
"66" 11 "LAYING" "fBodyAcc_mean()_X" -0.983801365614035
"67" 12 "WALKING" "fBodyAcc_mean()_X" -0.05435763951
"68" 12 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.321447925192308
"69" 12 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.0235049348717391
"70" 12 "SITTING" "fBodyAcc_mean()_X" -0.97966614372549
"71" 12 "STANDING" "fBodyAcc_mean()_X" -0.976469472295082
"72" 12 "LAYING" "fBodyAcc_mean()_X" -0.956248487666667
"73" 13 "WALKING" "fBodyAcc_mean()_X" -0.335030121052632
"74" 13 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.382460736363636
"75" 13 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" -0.0726602663212766
"76" 13 "SITTING" "fBodyAcc_mean()_X" -0.990135477755102
"77" 13 "STANDING" "fBodyAcc_mean()_X" -0.989425965614035
"78" 13 "LAYING" "fBodyAcc_mean()_X" -0.974716920483871
"79" 14 "WALKING" "fBodyAcc_mean()_X" -0.421498172542373
"80" 14 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.323508442240741
"81" 14 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.0212541553977778
"82" 14 "SITTING" "fBodyAcc_mean()_X" -0.976456609259259
"83" 14 "STANDING" "fBodyAcc_mean()_X" -0.9726995625
"84" 14 "LAYING" "fBodyAcc_mean()_X" -0.933936178235294
"85" 15 "WALKING" "fBodyAcc_mean()_X" -0.31744092037037
"86" 15 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.0746328434375
"87" 15 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.235309825547619
"88" 15 "SITTING" "fBodyAcc_mean()_X" -0.986619609491525
"89" 15 "STANDING" "fBodyAcc_mean()_X" -0.986724998867925
"90" 15 "LAYING" "fBodyAcc_mean()_X" -0.974016176527778
"91" 16 "WALKING" "fBodyAcc_mean()_X" -0.394790433529412
"92" 16 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.474984014705882
"93" 16 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.0368263528276596
"94" 16 "SITTING" "fBodyAcc_mean()_X" -0.987043828985507
"95" 16 "STANDING" "fBodyAcc_mean()_X" -0.989427670897436
"96" 16 "LAYING" "fBodyAcc_mean()_X" -0.980213187428571
"97" 17 "WALKING" "fBodyAcc_mean()_X" -0.360991674918033
"98" 17 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.1397522212625
"99" 17 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" -0.0226239171245652
"100" 17 "SITTING" "fBodyAcc_mean()_X" -0.9939693815625
"101" 17 "STANDING" "fBodyAcc_mean()_X" -0.990927533846154
"102" 17 "LAYING" "fBodyAcc_mean()_X" -0.974359280140845
"103" 18 "WALKING" "fBodyAcc_mean()_X" -0.37147515625
"104" 18 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.465097261896552
"105" 18 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" -0.350086793272727
"106" 18 "SITTING" "fBodyAcc_mean()_X" -0.993144920175439
"107" 18 "STANDING" "fBodyAcc_mean()_X" -0.990409919315068
"108" 18 "LAYING" "fBodyAcc_mean()_X" -0.985179972153846
"109" 19 "WALKING" "fBodyAcc_mean()_X" -0.0299815666923077
"110" 19 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.15687949467775
"111" 19 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.537012022051282
"112" 19 "SITTING" "fBodyAcc_mean()_X" -0.979238031780822
"113" 19 "STANDING" "fBodyAcc_mean()_X" -0.987352048356164
"114" 19 "LAYING" "fBodyAcc_mean()_X" -0.97453373
"115" 20 "WALKING" "fBodyAcc_mean()_X" -0.147404272166667
"116" 20 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.140439074776471
"117" 20 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" -0.0343309987555556
"118" 20 "SITTING" "fBodyAcc_mean()_X" -0.981203064242424
"119" 20 "STANDING" "fBodyAcc_mean()_X" -0.96193272890411
"120" 20 "LAYING" "fBodyAcc_mean()_X" -0.965728781617647
"121" 21 "WALKING" "fBodyAcc_mean()_X" -0.273496158519231
"122" 21 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.319169340234043
"123" 21 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.104323529982222
"124" 21 "SITTING" "fBodyAcc_mean()_X" -0.990610228
"125" 21 "STANDING" "fBodyAcc_mean()_X" -0.978327686179775
"126" 21 "LAYING" "fBodyAcc_mean()_X" -0.968234375555556
"127" 22 "WALKING" "fBodyAcc_mean()_X" -0.0994928588891304
"128" 22 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.0553996485285714
"129" 22 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.195348406222222
"130" 22 "SITTING" "fBodyAcc_mean()_X" -0.978505368225806
"131" 22 "STANDING" "fBodyAcc_mean()_X" -0.980373909206349
"132" 22 "LAYING" "fBodyAcc_mean()_X" -0.953758542777778
"133" 23 "WALKING" "fBodyAcc_mean()_X" -0.275404187920339
"134" 23 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.272605689568627
"135" 23 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.205428216353704
"136" 23 "SITTING" "fBodyAcc_mean()_X" -0.986325670882353
"137" 23 "STANDING" "fBodyAcc_mean()_X" -0.983627197058824
"138" 23 "LAYING" "fBodyAcc_mean()_X" -0.970037238333333
"139" 24 "WALKING" "fBodyAcc_mean()_X" -0.492419802586207
"140" 24 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.395790553898305
"141" 24 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" -0.222324293454545
"142" 24 "SITTING" "fBodyAcc_mean()_X" -0.989529506764706
"143" 24 "STANDING" "fBodyAcc_mean()_X" -0.984183633623188
"144" 24 "LAYING" "fBodyAcc_mean()_X" -0.975893687083333
"145" 25 "WALKING" "fBodyAcc_mean()_X" -0.609038908918919
"146" 25 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.521649838769231
"147" 25 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" -0.372245192931034
"148" 25 "SITTING" "fBodyAcc_mean()_X" -0.991405498153846
"149" 25 "STANDING" "fBodyAcc_mean()_X" -0.990093202837838
"150" 25 "LAYING" "fBodyAcc_mean()_X" -0.929147371232877
"151" 26 "WALKING" "fBodyAcc_mean()_X" -0.321959549661017
"152" 26 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.242820756127273
"153" 26 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.022800096142
"154" 26 "SITTING" "fBodyAcc_mean()_X" -0.982579546025641
"155" 26 "STANDING" "fBodyAcc_mean()_X" -0.991993372297297
"156" 26 "LAYING" "fBodyAcc_mean()_X" -0.973262289210526
"157" 27 "WALKING" "fBodyAcc_mean()_X" -0.308702374385965
"158" 27 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.417607401176471
"159" 27 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.0829831545090909
"160" 27 "SITTING" "fBodyAcc_mean()_X" -0.988682108428571
"161" 27 "STANDING" "fBodyAcc_mean()_X" -0.99012181225
"162" 27 "LAYING" "fBodyAcc_mean()_X" -0.980631846891892
"163" 28 "WALKING" "fBodyAcc_mean()_X" -0.280062182962963
